,threads,size,nproma,repetition,execution_time
343,16,131072,16,8,2784
344,1,8192,64,3,1355
345,32,65536,16,6,579
346,8,8192,16,2,219
347,32,262144,16,16,3417
348,4,8192,16,7,421
349,8,131072,16,16,3749
350,1,16384,64,9,2720
351,1,32768,64,6,5434
352,32,32768,16,10,257
353,1,65536,16,7,11265
354,16,16384,16,1,238
355,2,4096,16,8,418
356,4,16384,16,2,848
357,4,262144,16,11,13471
358,1,262144,16,10,45068
359,1,4096,64,12,680
360,1,4096,128,3,682
361,16,4096,16,5,67
362,8,262144,16,12,7552
363,1,262144,16,3,45043
364,4,131072,16,5,6724
365,8,4096,16,19,112
366,4,65536,16,1,3365
367,2,32768,16,0,3337
368,32,131072,16,12,1676
369,16,65536,16,2,1173
370,1,16384,128,19,2713
371,1,16384,16,4,2821
372,32,16384,16,5,132
373,32,4096,16,9,38
374,32,16384,16,17,139
375,4,131072,16,15,6734
376,32,65536,16,10,543
377,32,16384,16,2,135
378,32,16384,16,10,134
379,1,8192,16,9,1413
380,4,131072,16,12,6725
381,32,65536,16,17,585
382,2,131072,16,8,13304
383,1,262144,16,17,45064
384,1,4096,128,4,683
385,1,4096,64,15,681
386,16,4096,16,2,65
387,8,262144,16,15,7548
388,4,131072,16,2,6721
389,1,262144,16,4,45052
390,2,16384,16,8,1676
391,4,65536,16,6,3362
392,32,131072,16,15,1673
393,2,32768,16,7,3336
394,1,16384,16,3,2823
395,16,65536,16,5,1208
396,32,32768,16,3,256
397,32,4096,16,0,38
398,1,8192,16,7,1414
399,1,32768,16,13,5637
400,2,131072,16,6,13322
401,32,65536,16,19,541
402,1,262144,16,19,45068
403,1,65536,64,3,10872
404,1,4096,128,14,682
405,4,65536,16,8,3361
406,8,4096,16,10,113
407,2,16384,16,6,1678
408,1,32768,16,2,5638
409,1,16384,128,10,2710
410,2,32768,16,9,3334
411,1,65536,64,4,10871
412,1,4096,128,13,683
413,2,16384,16,1,1678
414,8,4096,16,17,113
415,1,32768,16,5,5637
416,1,16384,128,17,2712
417,32,32768,16,4,257
418,32,4096,16,7,38
419,32,16384,16,19,133
420,1,8192,16,0,1414
421,2,131072,16,1,13327
422,1,32768,16,14,5637
423,4,65536,16,16,3362
424,1,131072,64,4,21716
425,1,262144,64,12,43409
426,1,262144,128,3,43185
427,1,4096,16,10,711
428,8,32768,16,2,869
429,4,16384,16,11,849
430,16,262144,16,2,5488
