,type,threads,size,nproma,repetition,execution_time
705,openacc_hoist,1,4096,16,3,537
706,openacc,1,65536,16,3,8069
707,openacc_hoist,1,65536,16,18,8854
708,openacc,1,8192,128,2,1267
709,openacc,1,8192,64,13,1073
710,openacc_hoist,1,131072,64,11,21432
711,openacc_hoist,1,131072,128,0,28188
712,openacc,1,16384,128,9,2365
713,openacc,1,16384,64,18,2097
714,openacc,1,32768,128,17,5108
715,openacc,1,16384,64,3,2098
716,openacc,1,131072,128,8,20628
717,openacc,1,131072,64,19,18250
718,openacc_hoist,1,4096,16,14,537
719,openacc,1,65536,128,0,10163
720,openacc,1,65536,64,11,9077
721,openacc_hoist,1,65536,16,16,8861
722,openacc_hoist,1,262144,64,2,42697
723,openacc_hoist,1,32768,128,11,7000
724,openacc,1,131072,16,0,16356
725,openacc,1,16384,64,16,2095
726,openacc,1,16384,128,7,2365
727,openacc_hoist,1,16384,16,11,2242
728,openacc,1,65536,64,16,9098
729,openacc,1,65536,128,7,10164
730,openacc_hoist,1,65536,16,11,8854
731,openacc_hoist,1,262144,64,5,42693
732,openacc_hoist,1,131072,64,18,21427
733,openacc_hoist,1,131072,128,9,28209
734,openacc,1,131072,16,7,16208
735,openacc_hoist,1,32768,128,16,6996
736,openacc,1,16384,128,0,2356
737,openacc,1,16384,64,11,2099
738,openacc_hoist,1,16384,16,16,2240
739,openacc,1,16384,64,4,2101
740,openacc,1,32768,128,10,5093
741,openacc_hoist,1,4096,16,13,537
742,openacc_hoist,1,131072,128,13,28217
743,openacc,1,8192,16,16,1025
744,openacc_hoist,1,8192,64,4,1240
745,openacc_hoist,1,131072,16,14,17737
746,openacc,1,4096,64,3,509
747,openacc_hoist,1,8192,128,11,1562
748,openacc_hoist,1,32768,16,6,4435
749,openacc_hoist,1,16384,16,9,2242
750,openacc,1,131072,16,12,16370
751,openacc_hoist,1,65536,64,7,10591
752,openacc_hoist,1,8192,128,16,1562
753,openacc_hoist,1,32768,16,1,4426
754,openacc,1,131072,16,15,16247
755,openacc_hoist,1,4096,128,9,604
756,openacc_hoist,1,4096,64,18,554
757,openacc_hoist,1,65536,64,0,10589
758,openacc_hoist,1,131072,128,14,28184
759,openacc,1,262144,64,9,36357
760,openacc,1,8192,16,11,1021
761,openacc_hoist,1,8192,64,3,1242
762,openacc_hoist,1,131072,16,13,17762
763,openacc,1,4096,64,4,512
764,openacc_hoist,1,8192,128,18,1561
765,openacc_hoist,1,16384,16,0,2242
766,openacc_hoist,1,65536,128,15,14282
767,openacc_hoist,1,4096,64,16,554
768,openacc_hoist,1,4096,128,7,603
769,openacc,1,262144,64,7,36382
770,openacc,1,65536,16,13,8135
771,openacc_hoist,1,65536,128,5,14282
772,openacc_hoist,1,65536,64,14,10593
773,openacc,1,65536,128,13,10171
774,openacc,1,16384,16,14,2048
775,openacc_hoist,1,16384,64,13,2470
776,openacc_hoist,1,16384,128,2,3169
777,openacc_hoist,1,131072,16,5,17765
778,openacc,1,262144,64,0,36340
779,openacc,1,65536,16,14,8189
780,openacc_hoist,1,65536,64,13,10595
781,openacc,1,8192,16,18,1017
782,openacc_hoist,1,65536,128,2,14278
783,openacc,1,65536,128,14,10169
784,openacc,1,16384,16,13,2049
785,openacc_hoist,1,16384,128,5,3171
786,openacc_hoist,1,16384,64,14,2471
787,openacc_hoist,1,131072,16,2,17744
788,openacc_hoist,1,32768,16,8,4435
789,openacc_hoist,1,16384,16,7,2243
790,openacc_hoist,1,65536,128,12,14283
791,openacc_hoist,1,4096,128,0,604
792,openacc_hoist,1,4096,64,11,554
793,openacc_hoist,1,65536,64,9,10590
794,openacc_hoist,1,65536,16,4,8855
795,openacc,1,32768,16,14,4040
796,openacc_hoist,1,32768,64,5,5240
797,openacc_hoist,1,16384,128,17,3172
798,openacc_hoist,1,32768,128,2,6999
799,openacc_hoist,1,32768,64,13,5240
800,openacc,1,16384,128,11,2364
801,openacc,1,4096,128,13,573
802,openacc,1,4096,16,0,492
803,openacc_hoist,1,8192,16,7,1120
804,openacc_hoist,1,8192,128,5,1563
805,openacc_hoist,1,8192,64,14,1239
806,openacc,1,262144,16,18,32550
807,openacc,1,16384,128,16,2365
808,openacc,1,4096,128,14,569
809,openacc_hoist,1,131072,64,8,21445
810,openacc,1,4096,16,7,499
811,openacc_hoist,1,8192,16,0,1121
812,openacc_hoist,1,8192,64,13,1239
813,openacc_hoist,1,8192,128,2,1562
814,openacc_hoist,1,262144,16,19,35516
815,openacc_hoist,1,65536,16,3,8854
816,openacc,1,32768,16,13,4095
817,openacc_hoist,1,32768,64,2,5243
818,openacc,1,131072,128,18,20589
819,openacc_hoist,1,16384,128,10,3172
820,openacc_hoist,1,32768,64,14,5248
821,openacc_hoist,1,32768,128,5,6996
822,openacc_hoist,1,131072,64,6,21436
823,openacc,1,16384,128,18,2375
824,openacc,1,4096,16,9,490
825,openacc,1,262144,16,11,32769
826,openacc,1,262144,16,4,32468
827,openacc_hoist,1,262144,16,17,35499
828,openacc,1,4096,16,14,491
829,openacc_hoist,1,16384,64,3,2469
830,openacc,1,131072,128,16,20614
831,openacc_hoist,1,262144,16,10,35507
832,openacc,1,4096,16,13,495
833,openacc_hoist,1,16384,64,4,2470
834,openacc_hoist,1,16384,128,19,3172
835,openacc,1,131072,128,11,20628
836,openacc_hoist,1,131072,64,1,21437
837,openacc_hoist,1,8192,16,9,1120
838,openacc,1,262144,16,16,32615
839,openacc,1,262144,16,3,32461
